#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_9	533149	66	N	N	1	*	9
contig_2	91779	66	N	N	1	*	2,3
contig_1	89533	5	N	N	1	*	1,3
contig_11	67560	8	N	N	1	*	*,11,*
contig_10	27200	5	N	N	1	*	*,10,*
contig_5	19156	66	N	Y	1	8	5
contig_8	18334	63	N	Y	1	10	8
contig_7	18251	3	N	Y	1	10	7
contig_6	16756	83	N	Y	1	*	6
