#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	87735	6	N	N	1	none	*	1,3
contig_2	90985	45	N	N	1	none	*	2,3
contig_9	528750	42	N	N	1	none	*	9
contig_10	29960	7	N	N	1	both	*	10
contig_11	66293	4	N	N	1	both	*	11
contig_4	18738	1	N	Y	1	none	8	4
contig_5	19049	42	N	Y	1	none	8	5
contig_6	16643	48	N	Y	1	none	*	6
contig_7	18021	1	N	Y	1	none	10	7
contig_8	18213	38	N	Y	1	none	10	8
